"",151,153,155,159,162,163,183,189,193,368,650,1567,1502,1549,1564,587
151,0,4,3,51,14,14,14,23,5,5,15,5,0,0,0,0
153,4,0,5,21,14,14,14,23,5,34,13,5,23,23,23,0
155,3,5,0,0,22,22,14,16,5,7,23,5,0,0,0,0
159,51,21,0,0,23,10,9,0,23,10,0,23,23,10,9,0
162,14,14,22,23,0,22,14,0,23,31,0,23,23,23,7,23
163,14,14,22,10,22,0,10,0,0,10,0,23,0,10,20,0
183,14,14,14,9,14,10,0,0,0,10,0,23,0,10,9,0
189,23,23,16,0,0,0,0,0,0,23,0,0,0,0,0,0
193,5,5,5,23,23,0,0,0,0,0,0,5,23,0,0,0
368,5,34,7,10,31,10,10,23,0,0,16,0,0,10,10,0
650,15,13,23,0,0,0,0,0,0,16,0,0,0,0,0,0
1567,5,5,5,23,23,23,23,0,5,0,0,0,22,23,23,0
1502,0,23,0,23,23,0,0,0,11,0,0,22,0,0,0,0
1549,0,23,0,10,23,10,10,0,0,10,0,23,0,0,10,0
1564,0,23,0,9,20,20,9,0,0,10,0,23,0,10,0,0
587,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
