"",151,153,155,159,162,163,183,189,193,368,650,1567,1502,1549,1564,587
151,0,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0
153,36,0,36,36,36,36,36,36,36,36,36,36,36,36,36,0
155,36,36,0,0,36,36,36,36,36,36,36,36,0,0,0,0
159,36,36,0,0,36,36,36,0,36,36,0,36,36,36,36,0
162,36,36,36,36,0,36,36,0,36,36,0,36,36,36,36,36
163,36,36,36,36,36,0,36,0,0,36,0,36,0,36,36,0
183,36,36,36,36,36,36,0,0,0,36,0,36,0,36,36,0
189,36,36,36,0,0,0,0,0,0,36,0,0,0,0,0,0
193,36,36,36,36,36,0,0,0,0,0,0,36,36,0,0,0
368,36,36,36,36,36,36,36,36,0,0,36,0,0,36,36,0
650,36,36,36,0,0,0,0,0,0,36,0,0,0,0,0,0
1567,36,36,36,36,36,36,36,0,36,0,0,0,36,36,36,0
1502,0,36,0,36,36,0,0,0,36,0,0,36,0,0,0,0
1549,0,36,0,36,36,36,36,0,0,36,0,36,0,0,36,0
1564,0,36,0,36,36,36,36,0,0,36,0,36,0,36,0,0
587,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
