"",177,577,800,1504,1507,1509,1530,1541,1553,1555,1556,1561,1562,1563,1570,1574,1579,1580,1582,1590,1595,598,802,1534,1558,801,1506
177,0,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,0,0,0,0,0,0
577,43,0,43,0,0,0,0,0,0,0,43,43,0,0,0,0,43,0,0,43,43,43,43,43,43,0,0
800,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,43,0,0,43,0,0
1504,43,0,0,0,43,0,43,43,43,43,0,0,0,43,43,43,43,43,0,43,0,0,0,0,0,0,0
1507,43,0,0,43,0,0,43,0,0,0,0,0,0,0,0,0,43,0,0,43,0,0,0,0,0,0,0
1509,43,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,43,43,43,0,0,0,0,0,0,0
1530,43,0,0,43,43,0,0,0,0,43,0,0,0,43,0,43,43,43,0,0,0,0,0,0,0,0,0
1541,43,0,0,43,0,0,0,0,0,43,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
1553,43,0,0,43,0,0,0,0,0,43,43,0,0,43,43,0,43,0,0,0,0,0,0,0,0,0,0
1555,43,0,0,43,0,0,43,43,43,0,0,0,0,43,43,43,43,0,0,0,0,0,0,0,0,0,0
1556,43,43,0,0,0,0,0,0,43,0,0,43,43,0,43,0,0,43,0,43,43,43,43,0,43,0,0
1561,43,43,0,0,0,0,0,0,0,0,43,0,0,0,43,0,0,0,0,43,43,43,43,0,43,0,0
1562,43,0,0,0,0,43,0,0,0,0,43,0,0,0,43,0,43,0,43,0,43,0,0,0,0,43,43
1563,43,0,0,43,0,0,43,0,43,43,0,0,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0
1570,43,0,0,43,0,0,0,43,43,43,43,43,43,0,0,0,0,0,0,0,43,0,0,0,0,0,0
1574,43,0,0,43,0,0,43,0,0,43,0,0,0,43,0,0,43,0,0,0,0,0,0,0,0,0,0
1579,43,43,0,43,43,43,43,0,43,43,0,0,43,43,0,43,0,43,0,43,0,0,0,0,0,0,0
1580,43,0,43,43,0,43,43,0,0,0,43,0,0,0,0,0,43,0,0,43,43,0,0,0,0,0,0
1582,43,0,0,0,0,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,43,43
1590,43,43,43,43,43,43,0,0,0,0,43,43,0,0,0,0,43,43,0,0,43,43,43,43,43,0,0
1595,43,43,0,0,0,0,0,0,0,0,43,43,43,0,43,0,0,43,0,43,0,43,43,0,43,0,0
598,0,43,43,0,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,43,43,0,43,0,43,0,0
802,0,43,0,0,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,43,43,43,0,0,43,0,0
1534,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
1558,0,43,43,0,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,43,43,43,43,0,0,0,0
801,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,43,0,0,0,0,0,0,0,43
1506,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,43,0,0,0,0,0,0,43,0
