,0,1,2,3
0,10_19.adj,10,0.4444444444444444,0.0007659776404576262
1,birdtrade_a.adj,42,0.07897793263646923,0.0007739816956469405
2,birdtrade_b.adj,39,0.07152496626180836,0.0013806294896020533
3,birdtrade_c.adj,34,0.08199643493761141,0.0011957234432965857
4,dolphin.adj,62,0.08408249603384453,0.00792211122422189
5,drugspider_chloralhydrate.adj,52,0.048265460030165915,0.010524235697125153
6,earth_moon_mars.adj,16,0.475,0.009337910777282916
7,east_europe_rr.adj,45,0.09191919191919191,0.011011786537095478
8,farmer.adj,80,0.024367088607594938,0.003746163807319213
9,frozen.adj,52,0.032428355957767725,0.005706022475403808
10,game_of_thrones.adj,79,0.038299253489126904,0.023153612240596744
11,grape.adj,54,0.055904961565338925,0.01396375604692019
12,hiv.adj,40,0.052564102564102565,0.003235674573613013
13,iceland.adj,75,0.04108108108108108,0.00246797665616725
14,karate.adj,34,0.13903743315508021,0.002091038335228638
15,latora_kindergarden.adj,16,0.325,0.005129343452835207
16,levi_strauss_myth1.adj,27,0.09971509971509972,0.012285151199434111
17,lrock.adj,92,0.22933588150979456,0.002343686011133067
18,madrid_terrorist.adj,64,0.12053571428571429,0.023510373769828955
19,morrissey_godparent.adj,43,0.048726467331118496,0.007744247648195997
20,mouse_visual_cortex1.adj,29,0.10837438423645321,0.0009244824805237433
21,nuclear.adj,47,0.0841813135985199,0.00288154510888472
22,pdist.adj,76,0.03368421052631579,0.002007883659949999
23,pitts.adj,40,0.06666666666666667,0.001662421441533894
24,prison.adj,62,0.0449497620306716,0.014722750642356707
25,s50_1.adj,49,0.06292517006802721,0.050231045679560986
26,s50_2.adj,50,0.06612244897959184,0.027669125157348727
27,s50_3.adj,50,0.06285714285714286,0.1668916866313394
28,Sandi_authors.adj,86,0.03392612859097127,0.017550956008862993
29,sociologists.adj,28,0.082010582010582,0.005231447866988015
30,taro.adj,22,0.16883116883116883,0.0019058897204755618
31,test_disconnected.adj,8,0.25,0.006611252466020201
32,tokstoy_rr.adj,30,0.06896551724137931,0.006445162792212937
33,traficking.adj,86,0.029274965800273597,0.011478512073930313
34,usa.adj,49,0.09098639455782313,0.01921505362489373
35,weevil.adj,19,0.1286549707602339,0.002423256337675372
36,windsurfers.adj,43,0.37209302325581395,0.0006229791728078373
37,word_of_mouth.adj,38,0.07254623044096728,0.0016893419287035635
38,zebra.adj,27,0.3162393162393162,0.04246694534874706
39,adelaide_tram.adj,56,0.03506493506493506,0.032683748797494895
40,athens_subway.adj,61,0.033879781420765025,0.012820117181238183
41,athens_tram.adj,49,0.04251700680272109,0.02795976941554948
42,bordeaux_ferry.adj,5,0.6,0.0005885074050804995
43,brisbane_ferry.adj,31,0.07526881720430108,0.00986479768129595
44,helsinki_rail.adj,75,0.0363963963963964,0.04232908038233569
45,helsinki_subway.adj,19,0.11695906432748537,0.006701007437721565
46,lisbon_rail.adj,65,0.032692307692307694,0.039742927738439474
47,lisbon_subway.adj,50,0.04244897959183674,0.009989989709053205
48,luxembourg_rail.adj,43,0.06201550387596899,0.013024520296471042
49,rennes_subway.adj,29,0.06896551724137931,0.014013408112676318
50,sydney_ferry.adj,81,0.04506172839506173,0.06650851210793056
51,sydney_tram.adj,44,0.046511627906976744,0.02403582468051814
52,toulouse_subway.adj,40,0.04871794871794872,0.023524170363860026
53,toulouse_tram.adj,52,0.03996983408748114,0.019051274797961273
54,venice_tram.adj,70,0.02981366459627329,0.023639559564308642
55,1020clc.adj,44,0.10676532769556026,0.005027354472854041
56,11-64.adj,12,0.19696969696969696,0.0055122781318962324
57,AmadMyJn12-10.adj,76,0.07473684210526316,0.0013563206989702335
58,AmadMyJn12-11.adj,65,0.07788461538461539,0.0006056370845387284
59,AmadMyJn12-20.adj,18,0.21568627450980393,0.0003788330050974318
60,AmadMyJn12-26.adj,43,0.07751937984496124,0.0015909470686293707
61,AmadMyJn12-27.adj,7,0.2857142857142857,0.006709999787350311
62,AmadMyJn12-28.adj,48,0.0851063829787234,0.0017408651336513162
63,AmadMyJn12-36.adj,19,0.1871345029239766,0.0007571156044942661
64,AmadMyJn12-5.adj,34,0.11051693404634581,0.004818856954125774
65,AmadMyJn12-50.adj,16,0.225,0.0010764199567912212
66,AmadMyJn12-51.adj,15,0.18095238095238095,0.003512623756548772
67,AmadMyJn12-6.adj,58,0.06352087114337568,0.0016579947064032181
68,Amador10-25.adj,31,0.0989247311827957,0.004015458101121695
69,Amador10-26.adj,13,0.1794871794871795,0.0024665667178647957
70,Amador10-27.adj,44,0.08562367864693446,0.005206297423131091
71,Amador10-28.adj,33,0.09659090909090909,0.00985834995593297
72,Amador10-29.adj,42,0.06852497096399536,0.01943936376284462
73,Amador10-30.adj,31,0.0989247311827957,0.012727977694039768
74,Amador10-31.adj,27,0.1168091168091168,0.0010108546377399145
75,Amador10-32.adj,7,0.3333333333333333,0.0030964356341493774
76,Amador10-33.adj,15,0.1523809523809524,0.00699036849187082
77,Amador10-34.adj,40,0.10512820512820513,0.01165401138890185
78,Amador10-35.adj,34,0.0944741532976827,0.009519090852017787
79,Amador10-42.adj,11,0.18181818181818182,0.006056196920201682
80,Amador10-43.adj,4,0.8333333333333334,0.0002238746485511255
81,Amador10-62.adj,13,0.19230769230769232,0.005078318166812311
82,Amador10-63.adj,44,0.0708245243128964,0.01271287090007533
83,BHGB10-18.adj,26,0.09538461538461539,0.0033913856720436215
84,BHGB10-19.adj,24,0.12318840579710146,0.0029417746570814013
85,BHGB10-20.adj,25,0.1,0.004723104318704056
