,0,1,2,3
0,10_19.adj,10,0.4444444444444444,0.0006935157142857528
1,birdtrade_a.adj,42,0.07897793263646923,0.00463915345553389
2,birdtrade_b.adj,39,0.07152496626180836,-0.0058750996174213
3,birdtrade_c.adj,34,0.08199643493761141,0.019256392910520326
4,dolphin.adj,62,0.08408249603384453,0.0815602312751401
5,drugspider_chloralhydrate.adj,52,0.048265460030165915,0.06975265342661124
6,earth_moon_mars.adj,16,0.475,0.08611030855248936
7,east_europe_rr.adj,45,0.09191919191919191,0.07221830769181552
8,farmer.adj,80,0.024367088607594938,-0.03305332112093432
9,frozen.adj,52,0.032428355957767725,0.029642253222286495
10,game_of_thrones.adj,79,0.038299253489126904,0.09985293832330756
11,grape.adj,54,0.055904961565338925,0.09022990207133691
12,hiv.adj,40,0.052564102564102565,-0.01861092685116076
13,iceland.adj,75,0.04108108108108108,0.003785370619548149
14,karate.adj,34,0.13903743315508021,0.03985450275737736
15,latora_kindergarden.adj,16,0.325,0.06976559280226724
16,levi_strauss_myth1.adj,27,0.09971509971509972,0.07322079651783721
17,lrock.adj,92,0.22933588150979456,0.027234599899756053
18,madrid_terrorist.adj,64,0.12053571428571429,0.1256960914000575
19,morrissey_godparent.adj,43,0.048726467331118496,-0.08187033645440128
20,mouse_visual_cortex1.adj,29,0.10837438423645321,0.0034546996898509193
21,nuclear.adj,47,0.0841813135985199,0.04089924295271123
22,pdist.adj,76,0.03368421052631579,0.02525620882373055
23,pitts.adj,40,0.06666666666666667,-0.006811944967387601
24,prison.adj,62,0.0449497620306716,0.08854874862806393
25,s50_1.adj,49,0.06292517006802721,0.18428012004982056
26,s50_2.adj,50,0.06612244897959184,0.1385997113934908
27,s50_3.adj,50,0.06285714285714286,0.3286521369223662
28,Sandi_authors.adj,86,0.03392612859097127,0.10291483755886988
29,sociologists.adj,28,0.082010582010582,0.04940620238403278
30,taro.adj,22,0.16883116883116883,0.0063241110154802944
31,test_disconnected.adj,8,0.25,0.04072144321428581
32,tokstoy_rr.adj,30,0.06896551724137931,0.025720039804264423
33,traficking.adj,86,0.029274965800273597,0.074054209918816
34,usa.adj,49,0.09098639455782313,0.1049243605588936
35,weevil.adj,19,0.1286549707602339,-0.04083855421222045
36,windsurfers.adj,43,0.37209302325581395,0.01454993751181641
37,word_of_mouth.adj,38,0.07254623044096728,0.0263078736813139
38,zebra.adj,27,0.3162393162393162,0.20436773203770223
39,adelaide_tram.adj,56,0.03506493506493506,0.1439304391235842
40,athens_subway.adj,61,0.033879781420765025,0.09383826785930958
41,athens_tram.adj,49,0.04251700680272109,0.12735223254468145
42,bordeaux_ferry.adj,5,0.6,-0.018599555333333306
43,brisbane_ferry.adj,31,0.07526881720430108,0.07481568229379718
44,helsinki_rail.adj,75,0.0363963963963964,0.1474396663558798
45,helsinki_subway.adj,19,0.11695906432748537,0.03539299808601107
46,lisbon_rail.adj,65,0.032692307692307694,0.15315604602306462
47,lisbon_subway.adj,50,0.04244897959183674,0.058031044599741816
48,luxembourg_rail.adj,43,0.06201550387596899,0.06109380522563013
49,rennes_subway.adj,29,0.06896551724137931,0.07301417867047072
50,sydney_ferry.adj,81,0.04506172839506173,0.20874026199397694
51,sydney_tram.adj,44,0.046511627906976744,0.10193824550390981
52,toulouse_subway.adj,40,0.04871794871794872,0.12351568166370377
53,toulouse_tram.adj,52,0.03996983408748114,0.08360183459975036
54,venice_tram.adj,70,0.02981366459627329,0.09442367574829234
55,1020clc.adj,44,0.10676532769556026,0.06009138187570853
56,11-64.adj,12,0.19696969696969696,-0.007535669523809481
57,AmadMyJn12-10.adj,76,0.07473684210526316,0.023752802890775884
58,AmadMyJn12-11.adj,65,0.07788461538461539,0.0023421789401755775
59,AmadMyJn12-20.adj,18,0.21568627450980393,-0.01773596195503107
60,AmadMyJn12-26.adj,43,0.07751937984496124,-0.005502545570790274
61,AmadMyJn12-27.adj,7,0.2857142857142857,-0.03797537904761905
62,AmadMyJn12-28.adj,48,0.0851063829787234,0.017265723679926275
63,AmadMyJn12-36.adj,19,0.1871345029239766,-0.00018531184763974582
64,AmadMyJn12-5.adj,34,0.11051693404634581,0.04190320310903064
65,AmadMyJn12-50.adj,16,0.225,-0.01687583822170874
66,AmadMyJn12-51.adj,15,0.18095238095238095,-0.02706720293684093
67,AmadMyJn12-6.adj,58,0.06352087114337568,0.019909527084714083
68,Amador10-25.adj,31,0.0989247311827957,0.04148054364932583
69,Amador10-26.adj,13,0.1794871794871795,-0.01881144883782872
70,Amador10-27.adj,44,0.08562367864693446,0.05985005148005149
71,Amador10-28.adj,33,0.09659090909090909,0.07031959053597829
72,Amador10-29.adj,42,0.06852497096399536,0.10216255394948498
73,Amador10-30.adj,31,0.0989247311827957,0.07529788229610038
74,Amador10-31.adj,27,0.1168091168091168,0.006136657867109902
75,Amador10-32.adj,7,0.3333333333333333,-0.04798243190476175
76,Amador10-33.adj,15,0.1523809523809524,0.02812729540030345
77,Amador10-34.adj,40,0.10512820512820513,0.06646054951407028
78,Amador10-35.adj,34,0.0944741532976827,0.06698427572347447
79,Amador10-42.adj,11,0.18181818181818182,-0.009965031731601655
80,Amador10-43.adj,4,0.8333333333333334,-0.001249077500000001
81,Amador10-62.adj,13,0.19230769230769232,0.04993375060606065
82,Amador10-63.adj,44,0.0708245243128964,0.0744981870193113
83,BHGB10-18.adj,26,0.09538461538461539,-0.014783791161530314
84,BHGB10-19.adj,24,0.12318840579710146,-0.030382831577573027
85,BHGB10-20.adj,25,0.1,-0.009114359251929237
86,BHGB10-21.adj,48,0.07801418439716312,0.03123719523460555
87,BHGB10-42.adj,9,0.2222222222222222,-0.013825160793650778
88,BHGB11-11.adj,47,0.08880666049953746,0.009997890930583717
89,BHGB11-13.adj,46,0.07149758454106281,0.004337816767304189
90,BHGB11-25.adj,30,0.12643678160919541,-0.024384270728122135
91,BHGB11-26.adj,44,0.12156448202959831,0.0035969536286848667
92,BHGB11-27.adj,36,0.14126984126984127,0.016694723833266367
93,BHGB11-28.adj,25,0.11,-0.029464570038622857
94,BHGB11-29.adj,41,0.12804878048780488,0.016051423237640017
95,BHGB11-30.adj,31,0.12473118279569892,0.0026906085129253595
96,BHGB11-31.adj,35,0.15126050420168066,0.002006979185611724
97,BHGB11-55.adj,7,0.2857142857142857,-0.03628490285714286
