"",151,153,155,160,162,163,164,176,180,183,189,193,365,368,373,376,538,539,540,542,543,544,545,546,589,650,1502,1508,1517,1518,1521,1527,1546,1559,1564,1565,1566,1568,1573,1576,1577,1579,1588,1597,2360
151,0,2,2,2,2,2,0,0,2,2,2,1,0,2,1,1,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
153,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,1,0,2
155,2,2,0,2,3,3,1,0,2,2,2,2,0,2,2,2,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0
160,2,2,2,0,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,1,0,2,2,2,2,0,0,1
162,2,2,3,2,0,3,0,2,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2
163,2,2,3,2,3,0,0,2,2,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,2,0,0,2
164,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
176,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
180,2,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
183,2,2,2,2,2,2,0,2,2,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0
189,2,2,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1,2,2,2,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
368,2,2,2,2,1,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
373,1,2,2,2,0,1,0,0,0,1,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,2,2,0,0,0
