"",151,153,155,159,162,163,183,189,193,368,650,1567,1502,1549,1564,587
151,0,18,18,18,18,18,28,28,17,17,18,28,0,0,0,0
153,18,0,18,18,18,24,24,24,17,17,24,18,24,24,24,0
155,18,18,0,0,18,18,18,18,17,17,17,18,0,0,0,0
159,18,18,0,0,18,18,18,0,17,17,0,18,18,18,18,0
162,18,18,18,18,0,18,18,0,17,17,0,18,18,18,18,18
163,18,24,18,18,18,0,24,0,0,17,0,18,0,24,24,0
183,28,24,18,18,18,24,0,0,0,17,0,52,0,24,24,0
189,28,24,18,0,0,0,0,0,0,17,0,0,0,0,0,0
193,17,17,17,17,17,0,0,0,0,0,0,17,17,0,0,0
368,17,17,17,17,17,17,17,17,0,0,17,0,0,17,17,0
650,18,24,17,0,0,0,0,0,0,17,0,0,0,0,0,0
1567,28,18,18,18,18,18,52,0,17,0,0,0,18,18,18,0
1502,0,24,0,18,18,0,0,0,17,0,0,18,0,0,0,0
1549,0,24,0,18,18,24,24,0,0,17,0,18,0,0,24,0
1564,0,24,0,18,18,24,24,0,0,17,0,18,0,24,0,0
587,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
