network,nodes,edges,real rand auc,real attack auc,fin theory rand auc,fin theory attack auc
C:\Users\alice\My Drive\jupyter\small-perc\nwks small perc\10_19.adj,10,20,0.8005047619047618,0.5798809523809523,0.7978714988018979,0.526035510375172
C:\Users\alice\My Drive\jupyter\small-perc\nwks small perc\birdtrade_a.adj,42,68,0.6322748316956822,0.18725159175549336,0.6380719383846004,0.25940838085466367
C:\Users\alice\My Drive\jupyter\small-perc\nwks small perc\birdtrade_b.adj,39,54,0.5854171203700236,0.19857776357214416,0.580699124119128,0.23391537447973582
0,0,0,0,0,0,0
